ActivityStartDate,MonitoringLocationIdentifier,CharacteristicName,ResultMeasureValue,AU,Impaired,Segment,TMDL,geometry,USGSSite_No,Flow
2014-10-22,TCEQMAIN-20806,Escherichia coli,200,2204_02,Y,2204,0,"c(-97.7599, 27.7178)",NA,NA
2015-09-30,TCEQMAIN-12897,Escherichia coli,54,1911_07,N,1911,1,"c(-98.4489, 29.3195)",USGS-08178565,16
2013-03-07,TCEQMAIN-12861,Escherichia coli,35,1910_01,N,1910,1,"c(-98.4211, 29.2981)",NA,NA
2017-12-06,TCEQMAIN-14256,Escherichia coli,9800,1911_09,Y,1911,1,"c(-98.4947, 29.3931)",USGS-08178000,38
2016-03-01,TCEQMAIN-16651,Escherichia coli,750,1007K_01,Y,1007K,1,"c(-95.3149, 29.7356)",NA,NA
2016-10-04,TCEQMAIN-12626,Escherichia coli,240,1808_03,N,1808,0,"c(-97.6509, 29.6661)",USGS-08172000,466
2013-04-02,TCEQMAIN-12640,Escherichia coli,130,1810_01,Y,1810,0,"c(-97.6019, 29.6573)",NA,NA
2016-04-20,TCEQMAIN-12883,Escherichia coli,2400,1911_04,Y,1911,1,"c(-98.2029, 29.1685)",NA,NA
2012-09-19,TCEQMAIN-17444,Escherichia coli,190,0831_01,Y,0831,0,"c(-97.6105, 32.676)",NA,NA
2012-12-11,TCEQMAIN-10597,Escherichia coli,610,0606_02,Y,0606,0,"c(-95.4738, 32.3741)",NA,NA
2013-04-16,TCEQMAIN-10465,Escherichia coli,220,0513_01,Y,0513,0,"c(-93.794, 30.6052)",NA,NA
2016-01-19,TCEQMAIN-16373,Escherichia coli,230,1302_03,Y,1302,0,"c(-96.0552, 29.5328)",NA,NA
2017-11-08,TCEQMAIN-14211,Escherichia coli,68,1902_02,Y,1902,0,"c(-97.919, 29.017)",USGS-08186000,29.4
2017-11-07,TCEQMAIN-11963,Escherichia coli,120,1255_01,Y,1255,0,"c(-98.184, 32.1931)",NA,NA
2013-02-20,TCEQMAIN-10199,Escherichia coli,370,0303B_03,Y,0303B,0,"c(-95.0925, 33.3223)",USGS-07343500,32.6
2012-06-19,TCEQMAIN-12673,Escherichia coli,110,1815_01,N,1815,0,"c(-98.0948, 29.9915)",USGS-08171000,55.9
2016-10-18,TCEQMAIN-15814,Escherichia coli,31000,2304_03,Y,2304,0,"c(-99.5028, 27.5005)",USGS-08459000,NA
2014-08-07,TCEQMAIN-20723,Escherichia coli,20,1302E_01,N,1302E,0,"c(-95.7208, 29.16)",NA,NA
2014-02-06,TCEQMAIN-12383,Escherichia coli,4,1415_01,N,1415,0,"c(-98.485, 30.6816)",NA,NA
2013-04-10,TCEQMAIN-12383,Escherichia coli,100,1415_01,N,1415,0,"c(-98.485, 30.6816)",NA,NA
2015-11-02,TCEQMAIN-17485,Escherichia coli,1100,1113C_01,Y,1113C,1,"c(-95.1302, 29.5788)",NA,NA
2012-11-21,TCEQMAIN-16626,Escherichia coli,26,1004E_02,Y,1004E,1,"c(-95.4406, 30.2817)",NA,NA
2015-09-17,TCEQMAIN-12626,Escherichia coli,67,1808_03,N,1808,0,"c(-97.6509, 29.6661)",USGS-08172000,302
2012-12-11,TCEQMAIN-14223,Escherichia coli,730,1911_09,Y,1911,1,"c(-98.4886, 29.4253)",USGS-08178000,38.8
2016-06-13,TCEQMAIN-11370,Escherichia coli,13000,1016_03,Y,1016,1,"c(-95.2381, 29.8917)",NA,NA
2015-11-02,TCEQMAIN-13633,Escherichia coli,2000,0211_02,N,0211,0,"c(-98.24, 33.827)",USGS-07314900,25.9
2014-04-29,TCEQMAIN-15869,Escherichia coli,86,1007R_01,Y,1007R,1,"c(-95.3338, 29.8003)",USGS-08075763,1.29
2015-10-14,TCEQMAIN-17066,Escherichia coli,69,1911_08,Y,1911,1,"c(-98.4895, 29.3799)",NA,NA
2016-07-20,TCEQMAIN-12897,Escherichia coli,55,1911_07,N,1911,1,"c(-98.4489, 29.3195)",USGS-08178565,10.3
2018-08-22,TCEQMAIN-20465,Escherichia coli,62,1014C_01,Y,1014C,0,"c(-95.6254, 29.8794)",NA,NA
2016-01-25,TCEQMAIN-17167,Escherichia coli,4,0822A_01,N,0822A,1,"c(-96.9599, 32.8728)",NA,NA
2018-10-09,TCEQMAIN-20792,Escherichia coli,1300,0611B_02,Y,0611B,0,"c(-94.6482, 31.6009)",USGS-08037050,NA
2014-07-10,TCEQMAIN-15250,Escherichia coli,75,1217B_01,N,1217B,0,"c(-98.0507, 31.0854)",NA,NA
2014-10-02,TCEQMAIN-20212,Escherichia coli,450,1014_01,Y,1014,1,"c(-95.456, 29.76)",NA,NA
2019-04-15,TCEQMAIN-12508,Escherichia coli,31,1432_01,N,1432,0,"c(-98.9716, 31.732)",USGS-08143500,NA
2016-08-03,TCEQMAIN-11279,Escherichia coli,120,1006_03,N,1006,0,"c(-95.2333, 29.8372)",USGS-08076700,NA
2018-01-03,TCEQMAIN-16473,Escherichia coli,110,1102B_01,Y,1102B,1,"c(-95.1967, 29.5379)",NA,NA
2016-08-02,TCEQMAIN-11135,Escherichia coli,41,1007D_01,Y,1007D,1,"c(-95.446, 29.6188)",USGS-08075400,10.5
2016-12-05,TCEQMAIN-11956,Escherichia coli,77,1226_02,N,1226,0,"c(-97.5675, 31.7859)",USGS-08095000,109
2017-04-10,TCEQMAIN-17484,Escherichia coli,1700,1014A_01,Y,1014A,1,"c(-95.691, 29.8451)",USGS-08072730,5.83
2017-12-04,TCEQMAIN-16703,Escherichia coli,230,1812_03,N,1812,0,"c(-98.1649, 29.8632)",USGS-08167800,74
2015-06-30,TCEQMAIN-16661,Escherichia coli,670,1007F_01,Y,1007F,1,"c(-95.2364, 29.6719)",USGS-08075605,10.1
2016-03-01,TCEQMAIN-20500,Escherichia coli,610,1810_01,Y,1810,0,"c(-97.6118, 29.6996)",NA,NA
2017-01-10,TCEQMAIN-12102,Escherichia coli,65,1248_01,N,1248,0,"c(-97.5847, 30.6458)",NA,NA
2014-02-10,TCEQMAIN-12293,Escherichia coli,20,1434_02,N,1434,0,"c(-97.1561, 30.0138)",USGS-08159500,361
