MonitoringLocationIdentifier,CharacteristicName,AU,Impaired,TMDL,Completion_Date,geometry,USGSSite_No,tmdl_status,fa_pvalue,fa_kendallsTau,fa_slope,fa_n
TCEQMAIN-11389,Escherichia coli,1017_04,Y,1,2009-06-11,"c(-95.4092, 29.7796)",USGS-08074500,Post-TMDL,0.9031589487740854,-0.010351966873706004,-0.007299244893610914,70
TCEQMAIN-11125,Escherichia coli,1016A_03,Y,1,2010-08-12,"c(-95.2341, 29.9339)",USGS-08076180,Post-TMDL,0.28851397559632364,0.0822784855775967,0.033551048493705334,78
TCEQMAIN-11371,Escherichia coli,1016_02,Y,1,2010-08-12,"c(-95.3067, 29.9183)",USGS-08076000,Post-TMDL,0.5458235330375003,-0.04695304695304695,-0.03746152665813681,78
TCEQMAIN-11361,Escherichia coli,1014_01,Y,1,2009-06-11,"c(-95.5759, 29.7659)",USGS-08073500,Post-TMDL,0.4496424469364086,-0.060348019252128834,-0.03216466752608292,74
TCEQMAIN-11129,Escherichia coli,1007R_04,Y,1,2010-09-27,"c(-95.2683, 29.7932)",USGS-08075770,Post-TMDL,0.04529238782974431,0.15484515484515485,0.11835868702905786,78
TCEQMAIN-11332,Escherichia coli,1009_02,Y,1,2011-06-29,"c(-95.5986, 29.9737)",USGS-08068800,Post-TMDL,0.9894722819374157,-0.0013670539986329459,-9.208533811416332e-4,77
TCEQMAIN-11135,Escherichia coli,1007D_01,Y,1,2010-09-27,"c(-95.446, 29.6188)",USGS-08075400,Post-TMDL,0.9264084871782322,0.007518796992481202,0.004213157702196393,77
TCEQMAIN-11362,Escherichia coli,1014_01,Y,1,2009-06-11,"c(-95.6056, 29.7618)",USGS-08073500,Post-TMDL,0.028180895239971415,-0.13867276887871854,-0.06855760218096334,115
TCEQMAIN-11140,Escherichia coli,1007B_01,Y,1,2010-09-27,"c(-95.5282, 29.6727)",USGS-08074810,Post-TMDL,0.3814307794133624,0.06835269993164729,0.03605729708473922,77
TCEQMAIN-11314,Escherichia coli,1008_02,Y,1,2011-06-29,"c(-95.6458, 30.1189)",USGS-08068275,Post-TMDL,0.5445790583488369,0.05423728813559322,0.038168826698072394,60
TCEQMAIN-11356,Escherichia coli,1014_01,Y,1,2009-06-11,"c(-95.5008, 29.7603)",USGS-08073700,Post-TMDL,0.6813124880483907,0.03295075897815623,0.028834691866719185,74
